Dispute no,Creation Date,Assigned User,Invoice Amount,Trx Type,Dispute Status,Dispute Amount,Reason Code,Requester,Days Pending,Inv Creation Date,Notified Date,Approval Date,Credit Memo Creation Date,Credit Memo Amount,New Invoice Amount,Country,Customer Number,Activity Status,Activity Result,Updated Activity Result,Recipient Team - Broad Level
13.2188353353969-D,30-11-2020,?OM-C341@.com,1869289.12,S/Paa1-TT,COMPLETE,-0.01,1-Rebill,DHEER90@.com,20.97,16-10-2020,08-12-2020,,07-12-2020,-1869289.12,,IN,14.3205881759751-C,NOTIFIED,,Approved,GOM CMRB
13.2188355488963-D,30-11-2020,?IREC342@.com,1416000,Sup C1-TT,COMPLETE,-0.01,1-Rebill,LIMA.164@.com,12.82,19-10-2020,15-12-2020,28-12-2020,15-12-2020,-1416000,,IN,14.1717469380045-C,COMPLETE,COMPLETE,Approved,Project Accounting
13.2188357623956-D,30-11-2020,?IREC343@.com,165160.28,Invoi1-TT,NOT_APPROVED,-0.01,2-Rebill,DOINI97@.com,7.72,07-05-2020,10-12-2020,18-12-2020,,,,CH,14.3161329959508-C,COMPLETE,REJECTED,Rejected,OKS
13.2188359758948-D,30-11-2020,?IREC343@.com,190490.66,Invoi1-TT,NOT_APPROVED,-0.01,2-Rebill,DOINI97@.com,7.72,31-10-2020,10-12-2020,18-12-2020,,,,CH,14.3161329959508-C,COMPLETE,REJECTED,Rejected,OKS
13.218836189394-D,30-11-2020,?OM-C341@.com,366796,S/Paa1-TT,COMPLETE,-1,3-Rebill,MONIC215@.com,21.94,05-02-2020,07-12-2020,,14-12-2020,-366796,,KR,14.1712230469875-C,NOTIFIED,,Approved,GOM CMRB
13.2188364028932-D,30-11-2020,?OM-C341@.com,798128,S/Paa1-TT,COMPLETE,-1,3-Rebill,MONIC215@.com,21.92,02-01-2020,07-12-2020,,14-12-2020,-798128,,KR,14.1712230469875-C,NOTIFIED,,Approved,GOM CMRB
13.2188366163923-D,30-11-2020,?OM-C341@.com,51478,S/Paa1-TT,COMPLETE,-1,3-Rebill,MONIC215@.com,21.92,09-12-2019,07-12-2020,,14-12-2020,-51478,,KR,14.1712230469875-C,NOTIFIED,,Approved,GOM CMRB
13.2188368298914-D,30-11-2020,?CLOU344@.com,1408705,S/Paa1-TT,COMPLETE,-1,3-Rebill,MONIC215@.com,0.01,02-07-2020,03-12-2020,03-12-2020,02-12-2020,-1408705,,KR,13.0369094277297-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188370433903-D,30-11-2020,?CLOU344@.com,1060877,S/Paa1-TT,COMPLETE,-1,3-Rebill,MONIC215@.com,0.01,03-06-2020,03-12-2020,03-12-2020,02-12-2020,-1060877,,KR,13.0369094277297-C,COMPLETE,COMPLETE,Approved,CSDM
13.2188372568893-D,30-11-2020,?ELEN345@.com,26327.38,Invoi1-TT,NOT_APPROVED,-26327.38,4-Rebill,BEATR52@.com,0.03,27-08-2020,01-12-2020,01-12-2020,,,,FR,14.0661538105122-C,COMPLETE,REJECTED,Rejected,Collections
